C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,user_id,ad_id,day,hour_of_day
1005,1,1052,938,19,1164,36,0,16063,78194,1417,1,0,19771,320,50,2227,0,687,100079,48,81003,2317,21,0
1005,0,786,1023,6,583,10,9,1529,54229,194,1,0,21647,320,50,2487,1,547,-1,51,1662,1381,21,2
1005,0,185,1264,2,1164,36,0,16063,103989,1622,1,0,15703,320,50,1722,0,35,100084,79,101988,187,21,0
1005,0,786,1023,6,290,10,2,16063,14143,2938,1,0,19251,320,50,2201,3,35,-1,43,28918,1087,21,1
1005,0,165,1179,3,1164,36,0,16063,83734,2938,1,0,18993,320,50,2161,0,35,-1,157,85562,167,21,0
1005,0,185,1264,2,1164,36,0,16063,94693,2938,1,0,15705,320,50,1722,0,35,100084,79,94391,187,21,0
1005,0,786,1023,6,436,10,2,15178,97012,1470,1,0,21611,320,50,2480,3,297,100111,61,16453,1233,21,2
1005,0,185,1264,2,1164,36,0,16063,83450,2672,1,0,15708,320,50,1722,0,35,-1,79,85318,187,21,1
1005,0,19,39,11,1164,36,0,16063,58141,942,1,0,20596,320,50,2161,0,35,-1,157,64658,19,21,0
1005,0,185,1264,2,1164,36,0,16063,49129,2938,1,0,15707,320,50,1722,0,35,100084,79,57299,187,21,0
1005,1,1272,667,19,1164,36,0,16063,65876,2250,1,0,20363,216,36,2333,0,39,-1,157,70892,2541,21,2
1005,0,786,1023,6,583,10,9,587,68478,863,1,0,21611,320,50,2480,3,297,100111,61,639,1381,21,0
1005,0,526,766,2,1164,36,0,16063,46894,1207,1,0,18091,320,50,2060,3,39,-1,23,55490,534,21,1
1005,0,786,1023,6,448,10,7,16063,107654,2564,1,2,18993,320,50,2161,0,35,100131,157,105046,1245,21,0
1005,1,1291,595,19,1164,36,0,16063,34741,2166,1,0,19771,320,50,2227,0,687,100077,48,45585,2560,21,1
1005,0,524,1038,4,1164,36,0,16063,34847,2938,1,0,20352,320,50,2333,0,39,-1,157,45664,532,21,1
1005,1,138,61,19,1164,36,0,16063,45386,989,1,0,19772,320,50,2227,0,687,-1,48,54258,139,21,2
1005,0,620,839,19,1164,36,0,16063,20752,2166,1,0,19772,320,50,2227,0,687,-1,48,34271,630,21,0
1005,0,786,1023,6,290,10,2,16063,33625,2600,1,0,19251,320,50,2201,3,35,-1,43,44694,1087,21,2
1005,0,1413,1173,2,1164,36,0,16063,105017,1373,1,0,19666,300,250,2253,2,303,-1,52,102849,2683,21,0
